NAME,B25104_001E,B25104_002E,B25104_003E,B25104_004E,B25104_005E,B25104_006E,B25104_007E,B25104_008E,B25104_009E,B25104_010E,B25104_011E,B25104_012E,B25104_013E,B25104_014E,B25104_015E,B25104_016E,B25104_017E,state,county,tract
"Census Tract 118.01, Benton County, Washington",1100.0,23.0,35.0,62.0,58.0,27.0,102.0,15.0,57.0,158.0,14.0,289.0,36.0,37.0,123.0,56.0,8.0,53,005,011801
"Census Tract 118.02, Benton County, Washington",1060.0,0.0,0.0,44.0,69.0,79.0,26.0,72.0,165.0,193.0,0.0,127.0,150.0,34.0,35.0,0.0,66.0,53,005,011802
"Census Tract 119, Benton County, Washington",2148.0,7.0,20.0,64.0,246.0,142.0,121.0,63.0,219.0,102.0,73.0,657.0,224.0,65.0,83.0,11.0,51.0,53,005,011900
"Census Tract 120, Benton County, Washington",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,005,012000
"Census Tract 9601, Chelan County, Washington",819.0,0.0,88.0,37.0,34.0,106.0,10.0,55.0,35.0,27.0,41.0,199.0,45.0,74.0,36.0,4.0,28.0,53,007,960100
"Census Tract 9602.01, Chelan County, Washington",1822.0,0.0,0.0,41.0,63.0,162.0,70.0,50.0,147.0,87.0,43.0,345.0,355.0,173.0,121.0,117.0,48.0,53,007,960201
"Census Tract 9602.02, Chelan County, Washington",953.0,0.0,94.0,88.0,124.0,45.0,64.0,16.0,65.0,90.0,0.0,51.0,66.0,72.0,73.0,12.0,93.0,53,007,960202
"Census Tract 9602.03, Chelan County, Washington",408.0,5.0,12.0,49.0,46.0,36.0,13.0,0.0,0.0,26.0,49.0,61.0,0.0,33.0,15.0,24.0,39.0,53,007,960203
"Census Tract 9603.01, Chelan County, Washington",772.0,0.0,31.0,0.0,20.0,18.0,58.0,170.0,38.0,17.0,30.0,146.0,159.0,11.0,18.0,25.0,31.0,53,007,960301
"Census Tract 9603.02, Chelan County, Washington",897.0,0.0,53.0,123.0,17.0,16.0,26.0,15.0,61.0,30.0,4.0,203.0,216.0,42.0,12.0,0.0,79.0,53,007,960302
"Census Tract 9603.03, Chelan County, Washington",687.0,0.0,0.0,36.0,137.0,47.0,47.0,25.0,34.0,43.0,53.0,11.0,143.0,87.0,24.0,0.0,0.0,53,007,960303
"Census Tract 9604, Chelan County, Washington",1404.0,0.0,61.0,81.0,141.0,94.0,13.0,150.0,70.0,53.0,19.0,283.0,70.0,92.0,13.0,59.0,205.0,53,007,960400
"Census Tract 9605.01, Chelan County, Washington",937.0,0.0,0.0,46.0,83.0,93.0,52.0,45.0,124.0,104.0,22.0,88.0,134.0,0.0,46.0,100.0,0.0,53,007,960501
"Census Tract 9605.02, Chelan County, Washington",2008.0,0.0,0.0,12.0,449.0,83.0,117.0,110.0,119.0,75.0,45.0,201.0,295.0,190.0,9.0,200.0,103.0,53,007,960502
"Census Tract 9606, Chelan County, Washington",1414.0,10.0,10.0,44.0,108.0,114.0,50.0,70.0,121.0,61.0,125.0,191.0,292.0,117.0,41.0,48.0,12.0,53,007,960600
"Census Tract 9607, Chelan County, Washington",1407.0,0.0,0.0,17.0,20.0,30.0,111.0,178.0,40.0,108.0,20.0,160.0,254.0,163.0,119.0,159.0,28.0,53,007,960700
"Census Tract 9608.01, Chelan County, Washington",1174.0,0.0,0.0,36.0,24.0,32.0,73.0,82.0,67.0,55.0,5.0,243.0,231.0,168.0,60.0,98.0,0.0,53,007,960801
"Census Tract 9608.03, Chelan County, Washington",1787.0,0.0,26.0,21.0,34.0,143.0,101.0,127.0,79.0,75.0,199.0,495.0,340.0,106.0,18.0,0.0,23.0,53,007,960803
"Census Tract 9608.04, Chelan County, Washington",1616.0,57.0,44.0,18.0,55.0,53.0,115.0,37.0,91.0,51.0,71.0,556.0,228.0,173.0,56.0,0.0,11.0,53,007,960804
"Census Tract 9610.01, Chelan County, Washington",1217.0,20.0,65.0,45.0,39.0,48.0,43.0,31.0,81.0,117.0,15.0,503.0,103.0,74.0,33.0,0.0,0.0,53,007,961001
"Census Tract 9610.02, Chelan County, Washington",1572.0,51.0,0.0,92.0,44.0,127.0,111.0,112.0,298.0,49.0,105.0,483.0,100.0,0.0,0.0,0.0,0.0,53,007,961002
"Census Tract 9611.01, Chelan County, Washington",1470.0,0.0,0.0,70.0,98.0,84.0,46.0,21.0,77.0,110.0,228.0,474.0,199.0,20.0,15.0,21.0,7.0,53,007,961101
"Census Tract 9611.02, Chelan County, Washington",1881.0,0.0,86.0,124.0,89.0,131.0,138.0,131.0,28.0,77.0,33.0,216.0,521.0,141.0,129.0,30.0,7.0,53,007,961102
"Census Tract 9612, Chelan County, Washington",1431.0,8.0,16.0,36.0,18.0,93.0,69.0,48.0,20.0,119.0,58.0,376.0,258.0,102.0,62.0,44.0,104.0,53,007,961200
"Census Tract 9613.01, Chelan County, Washington",541.0,0.0,0.0,11.0,14.0,43.0,62.0,25.0,36.0,13.0,8.0,134.0,111.0,41.0,31.0,8.0,4.0,53,007,961301
"Census Tract 9613.03, Chelan County, Washington",1702.0,0.0,13.0,29.0,21.0,230.0,136.0,158.0,134.0,55.0,83.0,435.0,116.0,90.0,158.0,35.0,9.0,53,007,961303
"Census Tract 9613.04, Chelan County, Washington",1555.0,0.0,44.0,38.0,78.0,79.0,38.0,33.0,13.0,53.0,123.0,427.0,318.0,122.0,71.0,7.0,111.0,53,007,961304
"Census Tract 3, Clallam County, Washington",1719.0,0.0,25.0,176.0,58.0,130.0,161.0,166.0,156.0,82.0,126.0,438.0,134.0,23.0,0.0,14.0,30.0,53,009,000300
"Census Tract 6, Clallam County, Washington",1674.0,0.0,51.0,177.0,88.0,88.0,93.0,72.0,71.0,49.0,100.0,470.0,184.0,92.0,45.0,47.0,47.0,53,009,000600
"Census Tract 7, Clallam County, Washington",1522.0,0.0,22.0,0.0,41.0,100.0,101.0,114.0,82.0,84.0,93.0,461.0,292.0,68.0,23.0,16.0,25.0,53,009,000700
"Census Tract 8, Clallam County, Washington",1662.0,0.0,20.0,29.0,48.0,70.0,56.0,115.0,117.0,111.0,40.0,636.0,282.0,88.0,0.0,25.0,25.0,53,009,000800
"Census Tract 9, Clallam County, Washington",1431.0,0.0,41.0,93.0,99.0,78.0,120.0,41.0,66.0,89.0,75.0,382.0,262.0,52.0,27.0,0.0,6.0,53,009,000900
"Census Tract 10, Clallam County, Washington",1130.0,0.0,21.0,26.0,98.0,14.0,81.0,161.0,114.0,118.0,47.0,361.0,41.0,16.0,0.0,6.0,26.0,53,009,001000
"Census Tract 11, Clallam County, Washington",1678.0,0.0,24.0,67.0,59.0,74.0,54.0,78.0,64.0,96.0,79.0,514.0,380.0,102.0,11.0,42.0,34.0,53,009,001100
"Census Tract 12, Clallam County, Washington",1909.0,20.0,0.0,6.0,64.0,123.0,107.0,267.0,131.0,116.0,196.0,424.0,236.0,174.0,14.0,12.0,19.0,53,009,001200
"Census Tract 13, Clallam County, Washington",1403.0,0.0,25.0,153.0,17.0,86.0,138.0,62.0,140.0,65.0,17.0,373.0,123.0,103.0,18.0,58.0,25.0,53,009,001300
